"","Country Code","Country Name","Region","IncomeGroup","Population Ranking","Population","GDP Ranking","GDP (Mio USD)","GDP per capita","Electricity Consumption per capita (kWh)","Fossil fuel energy consumption (pct. of total)","Electricity production from oil sources (pct. of total)","Electricity production from oil/gas/coal sources (pct. of total)","Electricity production from hydroelectric sources (pct. of total)","Electricity production from renewables sources (excl. hydroelectric) (pct. of total)","Alternative and nuclear energy (pct. of total energy use)","Energy use (kg oil eq) per capita","CO2 emissions (kt)","CO2 emissions (tons per capita)","CO2 emissions from transport (pct. of total fuel combustion)","GDP per capita (PPP 2011)","GNI per capita (PPP 2011)","HDI"
"40","GEO","Georgia","Europe & Central Asia","Lower middle income",131,3719300,113,37282.1,9276.8,2688.49,72.21,0,19.63,80.37,0,16.71,1177.87,8987.82,2.41,42.23,9277,8856,0.769
"41","GHA","Ghana","Sub-Saharan Africa","Lower middle income",49,28206728,77,121311,3980.2,354.71,52.3,17.07,35.27,64.7,0.03,7.99,335.05,14466.32,0.54,55.38,3980,3839,0.579
"42","GRC","Greece","Europe & Central Asia","High income",83,10746740,56,285066.9,24224,5062.61,86.06,11.01,75.61,8.89,15.3,5.32,2123.9,67318.79,6.18,24.8,24224,24808,0.866
"43","GTM","Guatemala","Latin America & Caribbean","Lower middle income",67,16582469,76,131998.4,7366.8,577.89,37.38,14.1,31.39,45.2,23.4,4.77,830.09,18327.67,1.15,39.96,7367,7063,0.64
"44","HND","Honduras","Latin America & Caribbean","Lower middle income",94,9112867,106,43250,4392.3,630.14,52.48,55.66,56.17,32.37,11.46,4.82,607.86,9471.86,1.08,39.54,4392,4466,0.625
"45","HRV","Croatia","Europe & Central Asia","Upper middle income",128,4170600,79,98975.7,21528,3714.38,70.7,0.96,26.04,67.04,6.92,10.69,1897.84,16842.53,3.97,36.59,21528,20291,0.827
"46","HTI","Haiti","Latin America & Caribbean","Low income",82,10847334,140,19386.1,1654,38.97,22.02,91.29,91.29,8.71,0,0.19,392.8,2860.26,0.27,42.39,1654,1657,0.493
"47","HUN","Hungary","Europe & Central Asia","High income",89,9817958,58,265053.5,25664.1,3965.96,67.99,0.25,35.45,1.03,9.65,19.06,2314.5,42086.16,4.27,27.16,25664,23394,0.836
"48","IDN","Indonesia","East Asia & Pacific","Lower middle income",4,261115456,8,3037181.1,10764.5,811.9,65.56,11.28,88.56,6.63,4.81,8.23,883.91,464176.19,1.82,30.81,10765,10053,0.689
"49","IND","India","South Asia","Lower middle income",2,1324171354,3,8717512.7,6092.6,805.6,73.46,1.76,81.73,10.23,5.18,3.02,637.43,2238377.14,1.73,11.48,6093,5663,0.624
"50","IRL","Ireland","Europe & Central Asia","High income",121,4773095,48,340821.5,63301.2,5721.84,84.58,0.72,75.23,2.72,21.8,4.04,2765.63,34066.43,7.38,32.13,63301,43798,0.923
"51","IRQ","Iraq","Middle East & North Africa","Upper middle income",37,37202572,32,646678.1,16086.9,1305.69,97.27,73.73,95.67,4.33,0,0.51,1413.5,168443.65,4.81,20.58,16087,11608,0.649
"52","ISL","Iceland","Europe & Central Asia","High income",176,334252,143,17180.2,45116.2,53832.48,10.93,0.02,0.02,71.04,28.95,89,17916.12,1983.85,6.06,40.2,45116,37065,0.921
"53","ISR","Israel","Middle East & North Africa","High income",97,8547100,50,322931.4,32688.4,6600.9,96.43,0.49,98.49,0.02,1.49,5.17,2762.51,64601.54,7.86,26.09,32688,31215,0.899
"54","ITA","Italy","Europe & Central Asia","High income",23,60600590,11,2323738.2,34699.9,5002.41,78.59,5.09,55.49,21.05,22.34,9.31,2414.48,320411.46,5.27,32.95,34700,33573,0.887
"55","JAM","Jamaica","Latin America & Caribbean","Upper middle income",138,2881355,132,25466.7,8179.6,1055.52,80.97,90.23,90.23,3.3,6.47,0.78,981.31,7422.01,2.59,24.27,8180,8350,0.73
"56","JOR","Jordan","Middle East & North Africa","Lower middle income",92,9455802,85,85720,8389.6,1888.12,97.61,92.52,99.64,0.32,0.04,1.92,928.52,26450.07,3,29.2,8390,10111,0.741
"57","JPN","Japan","East Asia & Pacific","High income",11,126994511,4,5267270.1,38252.3,7819.71,94.68,11.24,85.57,7.9,6.13,2.79,3470.76,1214048.36,9.54,17.54,38252,37268,0.903
"58","KAZ","Kenya","Europe & Central Asia","Upper middle income",64,17797032,41,450821.7,23446.6,5599.9,99.17,0.97,92.12,7.86,0.01,0.93,4434.4,248314.57,14.36,6.11,23447,22093,0.794
"59","KEN","Kyrgyzstan","Sub-Saharan Africa","Lower middle income",29,48461567,72,153198.6,2925.6,166.74,17.15,18.51,18.51,35.75,45.73,15.99,513.43,14286.63,0.31,52.87,2926,2881,0.555
"60","KHM","Kiribati","East Asia & Pacific","Lower middle income",70,15762370,101,59017.8,3465.1,271.43,30.68,10.69,38.9,60.54,0.56,2.51,416.94,6684.94,0.44,63.61,3465,3095,0.563
"61","KWT","Kuwait","Middle East & North Africa","High income",129,4052584,54,301545.4,68861.8,15213.42,100,66.25,100,0,0,0,8956.82,95408.01,25.22,15.26,68862,76075,0.8
"62","LBN","Lebanon","Middle East & North Africa","Upper middle income",111,6006668,83,86114.8,13267.9,2892.77,97.62,98.92,98.92,1.08,0,0.54,1337.37,24070.19,4.3,24.41,13268,13312,0.763
"63","LKA","Sri Lanka","South Asia","Lower middle income",56,21203000,59,261578.1,11639.3,535.07,50.27,35.1,60.8,36.53,2.67,3.89,519.37,18393.67,0.89,47.73,11639,10789,0.766
"64","LTU","Lithuania","Europe & Central Asia","High income",140,2872298,84,86071.6,27943.8,3821.15,67.99,4.31,51.54,10.76,29.99,1.39,2387.28,12838.17,4.38,46.17,27944,26006,0.848
"65","LUX","Luxembourg","Europe & Central Asia","High income",168,582972,100,60370.6,94921,13914.68,83.15,0,76.18,5.67,15.27,0.72,6861.11,9658.88,17.36,66.81,94921,62471,0.898
"66","LVA","Latvia","Europe & Central Asia","High income",149,1960424,103,50838.8,23728.5,3507.4,56.72,0,45.46,38.79,15.76,4.23,2176.84,6974.63,3.5,42.86,23729,22589,0.83
"67","MAR","Monaco","Middle East & North Africa","Lower middle income",39,35276786,57,281966.5,7285.9,901.13,88.47,13.1,87.61,5.69,6.69,1.61,553.1,59863.78,1.74,28.85,7286,7195,0.647
"68","MEX","Marshall Islands","Latin America & Caribbean","Upper middle income",10,127540423,12,2280085.8,16832.5,2090.18,90.2,10.95,79.22,12.9,4.64,5.18,1513.26,480270.66,3.87,35.09,16832,16383,0.762
"69","MLT","Myanmar","Middle East & North Africa","High income",171,436947,144,16635.5,35705.1,5007.44,97.79,96.66,96.66,0,3.34,1.3,1811.49,2346.88,5.49,23.08,35705,29500,0.856
"70","MMR","Montenegro","East Asia & Pacific","Lower middle income",26,52885223,53,303155.8,5305,216.78,39.33,0.46,37.64,62.36,0,3.93,371.87,21631.63,0.42,36.61,5305,4943,0.556
"71","MNE","Mongolia","Europe & Central Asia","Upper middle income",165,622781,148,11001.5,15737,4612.34,64.67,0,44.8,55.2,0,15.75,1538.26,2211.2,3.56,23.42,15737,15410,0.807
"72","MNG","Northern Mariana Islands","East Asia & Pacific","Lower middle income",136,3027398,114,37164.5,11361,2017.51,94.13,4.5,96.84,0,3.16,0.27,1838.24,20839.56,7.13,11.12,11361,10449,0.735
"73","MOZ","Mauritania","Sub-Saharan Africa","Low income",47,28829476,116,35147.6,1128.3,462.62,12.6,0,8.84,91.16,0,11.95,427.6,8426.77,0.31,56.85,1128,1098,0.418
"74","MUS","Malawi","Sub-Saharan Africa","Upper middle income",157,1263473,128,26714.3,19567.5,2182.51,84.54,36.74,79.69,3.1,17.21,0.73,1111.42,4228.05,3.35,25.51,19567,17948,0.781
"75","MYS","Namibia","East Asia & Pacific","Upper middle income",45,31187265,27,865020.9,25668.9,4596.33,96.63,2.37,90.29,9.08,0.63,1.31,2967.54,242821.41,8.03,29.71,25669,24620,0.789
"76","NER","Niger","Sub-Saharan Africa","Low income",57,20672987,139,20427.4,914.5,51.44,24.06,27.83,99.42,0,0.58,0.01,150.73,2126.86,0.11,59.18,914,889,0.353
"77","NGA","Nigeria","Sub-Saharan Africa","Lower middle income",7,185989640,21,1092218.2,5434.7,144.48,19.04,0,82.41,17.59,0,0.34,763.39,96280.75,0.55,35.39,5435,5443,0.527
"78","NIC","Nicaragua","Latin America & Caribbean","Lower middle income",109,6149928,117,34135.7,5136.8,580.48,40.92,46.11,46.11,8.89,45,18.45,609.01,4862.44,0.81,41.63,5137,4747,0.645
"79","NLD","Netherlands","Europe & Central Asia","High income",65,17018408,26,873376.5,47269.6,6712.77,90.95,1.84,83.01,0.11,11.21,2.35,4325.52,167303.21,9.92,19.85,47270,46326,0.924
"80","NOR","Norway","Europe & Central Asia","High income",117,5232929,52,310756.5,64139.5,22999.93,57.97,0.02,1.97,95.98,1.71,41.32,5595.65,47627,9.27,39.76,64140,67614,0.949
"81","NPL","Nepal","South Asia","Low income",46,28982771,91,71955.9,2297.7,139.14,15.76,0.03,0.03,99.79,0.18,2.79,412.72,8030.73,0.28,44.01,2298,2337,0.558
"82","NZL","New Zealand","East Asia & Pacific","High income",122,4692700,65,183243,35267.6,9026.32,59.89,0.02,20.8,55.88,23.24,34.51,4559.89,34664.15,7.69,44.94,35268,32870,0.915
"83","PAK","Pakistan","South Asia","Lower middle income",6,193203476,24,1013476.3,4854.6,471.04,59.7,39.67,64.94,29.84,0.38,4.52,484.45,166298.45,0.9,28.93,4855,5031,0.55
"84","PAN","Panama","Latin America & Caribbean","Upper middle income",130,4034119,81,92999.9,21334.9,2062.76,80.71,36.8,44.2,54.2,1.59,10.51,1079.13,8800.8,2.25,36.45,21335,19470,0.788
"85","PER","Peru","Latin America & Caribbean","Upper middle income",43,31773839,45,414454.2,12071.6,1307.51,79.56,1.23,47.81,48.76,3.43,8.21,767.69,61744.95,1.99,40.3,12072,11295,0.74
"86","PHL","Philippines","East Asia & Pacific","Lower middle income",12,103320222,28,807893.7,7236.5,699.21,61.99,7.39,74.36,11.83,13.77,20.27,476.24,105653.6,1.06,27.83,7236,8395,0.682
"87","POL","Poland","Europe & Central Asia","High income",36,37948016,23,1059610.3,26035.8,3971.8,90.09,1.01,87.36,1.38,11.14,0.94,2473.41,285739.97,7.52,15.67,26036,24117,0.855
"88","PRT","Portugal","Europe & Central Asia","High income",87,10324611,51,316602.9,27102.7,4662.6,72.66,2.61,38.77,29.96,30.78,12.76,2034.51,45052.76,4.33,36.7,27103,26104,0.843
"89","PRY","Paraguay","Latin America & Caribbean","Upper middle income",106,6725308,96,64468.2,8871.4,1563.51,33.7,0.01,0.01,99.99,0,91.98,788.69,5702.19,0.87,93.06,8871,8182,0.693
"90","QAT","Qatar","Middle East & North Africa","High income",141,2569804,49,328235.8,118207.1,15309.43,100,0,100,0,0,0,18562.67,107853.8,45.42,18.25,118207,129916,0.856
"91","ROU","Romania","Europe & Central Asia","Upper middle income",58,19705301,40,465564.8,21614.7,2584.41,72.76,0.75,40.49,28.84,12.76,16.92,1591.67,70003.03,3.52,22.45,21615,19428,0.802
"92","RUS","Russian Federation","Europe & Central Asia","Upper middle income",9,144342396,6,3397368.4,24416.6,6602.66,90.22,1.01,66.13,16.5,0.07,8.82,4942.88,1705345.68,11.86,16.24,24417,23286,0.804
"93","SAU","Saudi Arabia","Middle East & North Africa","High income",41,32275687,15,1759743.2,50458.2,9444.22,100,48.84,100,0,0,0,6937.23,601046.97,19.53,25.92,50458,51320,0.847
"94","SEN","Senegal","Sub-Saharan Africa","Low income",71,15411614,108,39624.8,2379.5,223.5,53.67,83.59,87.77,8.66,1.77,0.71,272.08,8855.81,0.61,38.85,2379,2250,0.494
"95","SGP","Singapore","East Asia & Pacific","High income",114,5607283,38,493458.3,81443.4,8844.69,97.52,0.7,97.06,0,1.66,0.01,5121.8,56372.79,10.31,15.18,81443,78162,0.925
"96","SLV","El Salvador","Latin America & Caribbean","Lower middle income",107,6344722,102,54777.4,7990,939.15,48.43,40.3,40.3,27.61,32.09,36.58,647.31,6285.24,1,48.13,7990,7732,0.68
"97","SRB","Serbia","Europe & Central Asia","Upper middle income",104,7057412,78,103920.9,13720.9,4271.74,83.87,0.03,67.01,32.9,0.09,7.18,1859.43,37667.42,5.28,15.48,13721,12202,0.776
"98","SUR","Suriname","Latin America & Caribbean","Upper middle income",169,558368,151,8373.2,13878,3631.86,76.25,37.66,37.66,62.34,0,16.94,1259.49,1991.18,3.63,33.67,13878,16018,0.725
"99","SVN","Slovenia","Europe & Central Asia","High income",146,2064845,93,69009.7,29930,6728,59.66,0.24,24.33,35.49,3.02,33.71,3236.24,12812.5,6.21,41.54,29930,28664,0.89
"100","SWE","Sweden","Europe & Central Asia","High income",88,9903122,39,490282.2,46568.2,13480.15,29.73,0.2,1.11,41.53,14.31,48.54,4966.44,43420.95,4.48,53.29,46568,46251,0.913
"101","TGO","Togo","Sub-Saharan Africa","Low income",100,7606374,146,11359.6,1382.1,152.72,17.2,11.97,11.97,84.51,3.52,0.31,456.67,2621.91,0.36,77.33,1382,1262,0.487
"102","THA","Thailand","East Asia & Pacific","Upper middle income",20,68863514,19,1166974.9,15683,2539.61,79.75,0.99,90.92,3.19,5.89,0.46,1969.63,316212.74,4.62,24.72,15683,14519,0.74
"103","TJK","Tajikistan","Europe & Central Asia","Lower middle income",96,8734951,130,26074.7,2762.6,1479.78,54.9,0,2.87,97.13,0,49.06,335.39,5188.81,0.62,33.48,2763,2601,0.627
"104","TTO","Trinidad and Tobago","Latin America & Caribbean","High income",153,1364962,104,44932.5,30464.8,7134.03,99.93,0.24,100,0,0,0,14446.75,46273.87,34.16,13.79,30465,28049,0.78
"105","TUN","Tunisia","Middle East & North Africa","Lower middle income",78,11403248,75,132483.2,10752,1444.11,88.36,1.76,95.95,0.29,2.8,0.89,943.61,28829.95,2.59,25.31,10752,10249,0.725
"106","TUR","Turkey","Europe & Central Asia","Upper middle income",18,79512426,13,1941094.1,23756.5,2854.57,89.58,0.85,78.97,16.13,4.76,7.12,1577.83,345981.45,4.49,19.83,23756,18705,0.767
"107","UKR","Ukraine","Europe & Central Asia","Lower middle income",31,45004645,47,353570.2,7668.1,3418.59,75.33,0.12,45.84,4.66,0.93,22.76,2334.41,227299,5.02,11.41,7668,7361,0.743
"108","URY","Uruguay","Latin America & Caribbean","High income",134,3444006,90,74602.6,20046.9,3067.95,46.84,9.06,9.08,74.16,16.76,18.94,1378.27,6747.28,1.97,55.34,20047,19148,0.795
"109","USA","United States of America","North America","High income",3,323127513,2,18624475,53445.4,12986.74,82.93,0.92,67.46,6.05,6.9,12.11,6956.81,5254279.29,16.49,33.4,53445,53245,0.92
"110","ZAF","South Africa","Sub-Saharan Africa","Upper middle income",24,55908865,29,740660.7,12236.8,4198.4,86.91,0.08,93.08,0.39,1,2.7,2695.73,489771.85,8.98,12.05,12237,12087,0.666
